0023-20E3	HASH
1F4B9	CHART
1F4BA	SEAT
1F4BB	COMPUTER
1F4BC	BRIEFCASE
1F4BD	MINIDISC
1F4BE	FLOPPY DISK
1F4BF	CD
1F4C0	DVD
1F4C1	FILE FOLDER
1F4C2	OPEN FILE FOLDER
1F4C3	PAGE WITH CURL
1F4C4	PAGE FACING UP
1F4C5	DATE
1F4C6	CALENDAR
1F4C7	CARD INDEX
1F4C8	CHART WITH UPWARDS TREND
1F4C9	CHART WITH DOWNWARDS TREND
1F4CA	BAR CHART
1F4CB	CLIPBOARD
1F4CC	PUSHPIN
1F4CD	ROUND PUSHPIN
1F4CE	PAPERCLIP
1F4CF	STRAIGHT RULER
1F4D0	TRIANGULAR RULER
1F4D1	BOOKMARK TABS
1F4D2	LEDGER
1F4D3	NOTEBOOK
1F4D4	NOTEBOOK WITH DECORATIVE COVER
1F4D5	CLOSED BOOK
1F4D6	BOOK
1F4D7	GREEN BOOK
1F4D8	BLUE BOOK
1F4D9	ORANGE BOOK
1F4DA	BOOKS
1F4DB	NAME BADGE
1F4DC	SCROLL
1F4DD	MEMO
1F4DE	TELEPHONE RECEIVER
1F4DF	PAGER
1F4E0	FAX
1F4E1	SATELLITE ANTENNA
1F4E2	LOUDSPEAKER
1F4E3	MEGA
1F4E4	OUTBOX TRAY
1F4E5	INBOX TRAY
1F4E6	PACKAGE
1F4E7	E MAIL
1F4E8	INCOMING ENVELOPE
1F4E9	ENVELOPE WITH ARROW
1F4EA	MAILBOX CLOSED
1F4EB	MAILBOX
1F4EC	MAILBOX WITH MAIL
1F4ED	MAILBOX WITH NO MAIL
1F4EE	POSTBOX
1F4EF	POSTAL HORN
1F4F0	NEWSPAPER
1F4F1	IPHONE
1F4F2	CALLING
1F4F3	VIBRATION MODE
1F4F4	MOBILE PHONE OFF
1F4F5	NO MOBILE PHONES
1F4F6	SIGNAL STRENGTH
1F4F7	CAMERA
1F4F8	CAMERA WITH FLASH
1F4F9	VIDEO CAMERA
1F4FA	TV
1F4FB	RADIO
1F4FC	VHS
1F4FD	FILM PROJECTOR
1F4FF	PRAYER BEADS
1F500	TWISTED RIGHTWARDS ARROWS
1F501	REPEAT
1F502	REPEAT ONE
1F503	ARROWS CLOCKWISE
1F504	ARROWS COUNTERCLOCKWISE
1F505	LOW BRIGHTNESS
1F506	HIGH BRIGHTNESS
1F507	MUTE
1F508	SPEAKER
1F509	SOUND
1F50A	LOUD SOUND
1F50B	BATTERY
1F50C	ELECTRIC PLUG
1F50D	MAG
1F50E	MAG RIGHT
1F50F	LOCK WITH INK PEN
1F510	CLOSED LOCK WITH KEY
1F511	KEY
1F512	LOCK
1F513	UNLOCK
1F514	BELL
1F515	NO BELL
1F516	BOOKMARK
1F517	LINK
1F518	RADIO BUTTON
1F519	BACK
1F51A	END
1F51B	ON
1F51C	SOON
1F51D	TOP
1F51E	UNDERAGE
1F51F	KEYCAP TEN
1F520	CAPITAL ABCD
1F521	ABCD
1F522	1234
1F523	SYMBOLS
1F524	ABC
1F525	FIRE
1F526	FLASHLIGHT
1F527	WRENCH
1F528	HAMMER
1F529	NUT AND BOLT
1F52A	HOCHO
1F52B	GUN
1F52C	MICROSCOPE
1F52D	TELESCOPE
1F52E	CRYSTAL BALL
1F52F	SIX POINTED STAR
1F530	BEGINNER
1F531	TRIDENT
1F532	BLACK SQUARE BUTTON
1F533	WHITE SQUARE BUTTON
1F534	RED CIRCLE
1F535	LARGE BLUE CIRCLE
1F536	LARGE ORANGE DIAMOND
1F537	LARGE BLUE DIAMOND
1F538	SMALL ORANGE DIAMOND
1F539	SMALL BLUE DIAMOND
1F53A	SMALL RED TRIANGLE
1F53B	SMALL RED TRIANGLE DOWN
1F53C	ARROW UP SMALL
1F53D	ARROW DOWN SMALL
1F549	OM SYMBOL
1F54A	DOVE OF PEACE
1F54B	KAABA
1F54C	MOSQUE
1F54D	SYNAGOGUE
1F54E	MENORAH WITH NINE BRANCHES
1F550	CLOCK1
1F551	CLOCK2
1F552	CLOCK3
1F553	CLOCK4
1F554	CLOCK5
1F555	CLOCK6
1F556	CLOCK7
1F557	CLOCK8
1F558	CLOCK9
1F559	CLOCK10
1F55A	CLOCK11
1F55B	CLOCK12
1F55C	CLOCK130
1F55D	CLOCK230
1F55E	CLOCK330
1F55F	CLOCK430
1F560	CLOCK530
1F561	CLOCK630
1F562	CLOCK730
1F563	CLOCK830
1F564	CLOCK930
1F565	CLOCK1030
1F566	CLOCK1130
1F567	CLOCK1230
1F56F	CANDLE
1F570	MANTELPIECE CLOCK
1F573	HOLE
1F574	MAN IN BUSINESS SUIT LEVITATING
1F575-200D-2640	FEMALE DETECTIVE
1F575-200D-2642	MALE DETECTIVE
1F575	SLEUTH OR SPY
1F576	DARK SUNGLASSES
1F577	SPIDER
1F578	SPIDER WEB
1F579	JOYSTICK
1F57A	MAN DANCING
1F587	LINKED PAPERCLIPS
1F58A	LOWER LEFT BALLPOINT PEN
1F58B	LOWER LEFT FOUNTAIN PEN
1F58C	LOWER LEFT PAINTBRUSH
1F58D	LOWER LEFT CRAYON
1F590	RAISED HAND WITH FINGERS SPLAYED
1F595	MIDDLE FINGER
1F596	SPOCK HAND
1F5A4	BLACK HEART
1F5A5	DESKTOP COMPUTER
1F5A8	PRINTER
1F5B1	THREE BUTTON MOUSE
1F5B2	TRACKBALL
1F5BC	FRAME WITH PICTURE
1F5C2	CARD INDEX DIVIDERS
1F5C3	CARD FILE BOX
1F5C4	FILE CABINET
1F5D1	WASTEBASKET
1F5D2	SPIRAL NOTE PAD
1F5D3	SPIRAL CALENDAR PAD
1F5DC	COMPRESSION
1F5DD	OLD KEY
1F5DE	ROLLED UP NEWSPAPER
1F5E1	DAGGER KNIFE
1F5E3	SPEAKING HEAD IN SILHOUETTE
1F5E8	LEFT SPEECH BUBBLE
1F5EF	RIGHT ANGER BUBBLE
1F5F3	BALLOT BOX WITH BALLOT
1F5FA	WORLD MAP
1F5FB	MOUNT FUJI
1F5FC	TOKYO TOWER
1F5FD	STATUE OF LIBERTY
1F5FE	JAPAN
1F5FF	MOYAI
1F600	GRINNING
1F601	GRIN
1F602	JOY
1F603	SMILEY
1F604	SMILE
1F605	SWEAT SMILE
1F606	LAUGHING
1F607	INNOCENT
1F608	SMILING IMP
1F609	WINK
1F60A	BLUSH
1F60B	YUM
1F60C	RELIEVED
1F60D	HEART EYES
1F60E	SUNGLASSES
1F60F	SMIRK
1F610	NEUTRAL FACE
1F611	EXPRESSIONLESS
1F612	UNAMUSED
1F613	SWEAT
1F614	PENSIVE
1F615	CONFUSED
1F616	CONFOUNDED
1F617	KISSING
1F618	KISSING HEART
1F619	KISSING SMILING EYES
1F61A	KISSING CLOSED EYES
1F61B	STUCK OUT TONGUE
1F61C	STUCK OUT TONGUE WINKING EYE
1F61D	STUCK OUT TONGUE CLOSED EYES
1F61E	DISAPPOINTED
1F61F	WORRIED
1F620	ANGRY
1F621	RAGE
1F622	CRY
1F623	PERSEVERE
1F624	TRIUMPH
1F625	DISAPPOINTED RELIEVED
1F626	FROWNING
1F627	ANGUISHED
1F628	FEARFUL
1F629	WEARY
1F62A	SLEEPY
1F62B	TIRED FACE
1F62C	GRIMACING
1F62D	SOB
1F62E	OPEN MOUTH
1F62F	HUSHED
1F630	COLD SWEAT
1F631	SCREAM
1F632	ASTONISHED
1F633	FLUSHED
1F634	SLEEPING
1F635	DIZZY FACE
1F636	NO MOUTH
1F637	MASK
1F638	SMILE CAT
1F639	JOY CAT
1F63A	SMILEY CAT
1F63B	HEART EYES CAT
1F63C	SMIRK CAT
1F63D	KISSING CAT
1F63E	POUTING CAT
1F63F	CRYING CAT FACE
1F640	SCREAM CAT
1F641	SLIGHTLY FROWNING FACE
1F642	SLIGHTLY SMILING FACE
1F643	UPSIDE DOWN FACE
1F644	FACE WITH ROLLING EYES
1F645-200D-2640	WOMAN GESTURING NO
1F645-200D-2642	MAN GESTURING NO
1F645	NO GOOD
1F646-200D-2640	WOMAN GESTURING OK
1F646-200D-2642	MAN GESTURING OK
1F646	OK WOMAN
1F647-200D-2640	WOMAN BOWING
1F647-200D-2642	MAN BOWING
1F647	BOW
1F648	SEE NO EVIL
1F649	HEAR NO EVIL
1F64A	SPEAK NO EVIL
1F64B-200D-2640	WOMAN RAISING HAND
1F64B-200D-2642	MAN RAISING HAND
1F64B	RAISING HAND
1F64C	RAISED HANDS
1F64D-200D-2640	WOMAN FROWNING
1F64D-200D-2642	MAN FROWNING
1F64D	PERSON FROWNING
1F64E-200D-2640	WOMAN POUTING
1F64E-200D-2642	MAN POUTING
1F64E	PERSON WITH POUTING FACE
1F64F	PRAY
1F680	ROCKET
1F681	HELICOPTER
1F682	STEAM LOCOMOTIVE
1F683	RAILWAY CAR
1F684	BULLETTRAIN SIDE
1F685	BULLETTRAIN FRONT
1F686	TRAIN2
1F687	METRO
1F688	LIGHT RAIL
1F689	STATION
1F68A	TRAM
1F68B	TRAIN
1F68C	BUS
1F68D	ONCOMING BUS
1F68E	TROLLEYBUS
1F68F	BUSSTOP
1F690	MINIBUS
1F691	AMBULANCE
1F692	FIRE ENGINE
1F693	POLICE CAR
1F694	ONCOMING POLICE CAR
1F695	TAXI
1F696	ONCOMING TAXI
1F697	CAR
1F698	ONCOMING AUTOMOBILE
1F699	BLUE CAR
1F69A	TRUCK
1F69B	ARTICULATED LORRY
1F69C	TRACTOR
1F69D	MONORAIL
1F69E	MOUNTAIN RAILWAY
1F69F	SUSPENSION RAILWAY
1F6A0	MOUNTAIN CABLEWAY
1F6A1	AERIAL TRAMWAY
1F6A2	SHIP
1F6A3-200D-2640	WOMAN ROWING BOAT
1F6A3-200D-2642	MAN ROWING BOAT
1F6A3	ROWBOAT
1F6A4	SPEEDBOAT
1F6A5	TRAFFIC LIGHT
1F6A6	VERTICAL TRAFFIC LIGHT
1F6A7	CONSTRUCTION
1F6A8	ROTATING LIGHT
1F6A9	TRIANGULAR FLAG ON POST
1F6AA	DOOR
1F6AB	NO ENTRY SIGN
1F6AC	SMOKING
1F6AD	NO SMOKING
1F6AE	PUT LITTER IN ITS PLACE
1F6AF	DO NOT LITTER
1F6B0	POTABLE WATER
1F6B1	NON POTABLE WATER
1F6B2	BIKE
1F6B3	NO BICYCLES
1F6B4-200D-2640	WOMAN BIKING
1F6B4-200D-2642	MAN BIKING
1F6B4	BICYCLIST
1F6B5-200D-2640	WOMAN MOUNTAIN BIKING
1F6B5-200D-2642	MAN MOUNTAIN BIKING
1F6B5	MOUNTAIN BICYCLIST
1F6B6-200D-2640	WOMAN WALKING
1F6B6-200D-2642	MAN WALKING
1F6B6	WALKING
1F6B7	NO PEDESTRIANS
1F6B8	CHILDREN CROSSING
1F6B9	MENS
1F6BA	WOMENS
1F6BB	RESTROOM
1F6BC	BABY SYMBOL
1F6BD	TOILET
1F6BE	WC
1F6BF	SHOWER
1F6C0	BATH
1F6C1	BATHTUB
1F6C2	PASSPORT CONTROL
1F6C3	CUSTOMS
1F6C4	BAGGAGE CLAIM
1F6C5	LEFT LUGGAGE
1F6CB	COUCH AND LAMP
1F6CC	SLEEPING ACCOMMODATION
1F6CD	SHOPPING BAGS
1F6CE	BELLHOP BELL
1F6CF	BED
1F6D0	PLACE OF WORSHIP
1F6D1	OCTAGONAL SIGN
1F6D2	SHOPPING TROLLEY
1F6D5	HINDU TEMPLE
1F6E0	HAMMER AND WRENCH
1F6E1	SHIELD
1F6E2	OIL DRUM
1F6E3	MOTORWAY
1F6E4	RAILWAY TRACK
1F6E5	MOTOR BOAT
1F6E9	SMALL AIRPLANE
1F6EB	AIRPLANE DEPARTURE
1F6EC	AIRPLANE ARRIVING
1F6F0	SATELLITE
1F6F3	PASSENGER SHIP
1F6F4	SCOOTER
1F6F5	MOTOR SCOOTER
1F6F6	CANOE
1F6F7	SLED
1F6F8	FLYING SAUCER
1F6F9	SKATEBOARD
1F6FA	AUTO RICKSHAW
1F7E0	LARGE ORANGE CIRCLE
1F7E1	LARGE YELLOW CIRCLE
1F7E2	LARGE GREEN CIRCLE
1F7E3	LARGE PURPLE CIRCLE
1F7E4	LARGE BROWN CIRCLE
1F7E5	LARGE RED SQUARE
1F7E6	LARGE BLUE SQUARE
1F7E7	LARGE ORANGE SQUARE
1F7E8	LARGE YELLOW SQUARE
1F7E9	LARGE GREEN SQUARE
1F7EA	LARGE PURPLE SQUARE
1F7EB	LARGE BROWN SQUARE
1F90D	WHITE HEART
1F90E	BROWN HEART
1F90F	PINCHING HAND
1F910	ZIPPER MOUTH FACE
1F911	MONEY MOUTH FACE
1F912	FACE WITH THERMOMETER
1F913	NERD FACE
1F914	THINKING FACE
1F915	FACE WITH HEAD BANDAGE
1F916	ROBOT FACE
1F917	HUGGING FACE
1F918	THE HORNS
1F919	CALL ME HAND
1F91A	RAISED BACK OF HAND
1F91B	LEFT FACING FIST
1F91C	RIGHT FACING FIST
1F91D	HANDSHAKE
1F91E	CROSSED FINGERS
1F91F	I LOVE YOU HAND SIGN
1F920	FACE WITH COWBOY HAT
1F921	CLOWN FACE
1F922	NAUSEATED FACE
1F923	ROLLING ON THE FLOOR LAUGHING
1F924	DROOLING FACE
1F925	LYING FACE
1F926-200D-2640	WOMAN FACEPALMING
1F926-200D-2642	MAN FACEPALMING
1F926	FACE PALM
1F927	SNEEZING FACE
1F928	FACE WITH RAISED EYEBROW
1F929	STAR STRUCK
1F92A	ZANY FACE
1F92B	SHUSHING FACE
1F92C	FACE WITH SYMBOLS ON MOUTH
1F92D	FACE WITH HAND OVER MOUTH
1F92E	FACE VOMITING
1F92F	EXPLODING HEAD
1F930	PREGNANT WOMAN
1F931	BREAST FEEDING
1F932	PALMS UP TOGETHER
1F933	SELFIE
1F934	PRINCE
1F935	MAN IN TUXEDO
1F936	MRS CLAUS
1F937-200D-2640	WOMAN SHRUGGING
1F937-200D-2642	MAN SHRUGGING
1F937	SHRUG
1F938-200D-2640	WOMAN CARTWHEELING
1F938-200D-2642	MAN CARTWHEELING
1F938	PERSON DOING CARTWHEEL
1F939-200D-2640	WOMAN JUGGLING
1F939-200D-2642	MAN JUGGLING
1F939	JUGGLING
1F93A	FENCER
1F93C-200D-2640	WOMAN WRESTLING
1F93C-200D-2642	MAN WRESTLING
1F93C	WRESTLERS
1F93D-200D-2640	WOMAN PLAYING WATER POLO
1F93D-200D-2642	MAN PLAYING WATER POLO
1F93D	WATER POLO
1F93E-200D-2640	WOMAN PLAYING HANDBALL
1F93E-200D-2642	MAN PLAYING HANDBALL
1F93E	HANDBALL
1F93F	DIVING MASK
1F940	WILTED FLOWER
1F941	DRUM WITH DRUMSTICKS
1F942	CLINKING GLASSES
1F943	TUMBLER GLASS
1F944	SPOON
1F945	GOAL NET
1F947	FIRST PLACE MEDAL
1F948	SECOND PLACE MEDAL
1F949	THIRD PLACE MEDAL
1F94A	BOXING GLOVE
1F94B	MARTIAL ARTS UNIFORM
1F94C	CURLING STONE
1F94D	LACROSSE
1F94E	SOFTBALL
1F94F	FLYING DISC
1F950	CROISSANT
1F951	AVOCADO
1F952	CUCUMBER
1F953	BACON
1F954	POTATO
1F955	CARROT
1F956	BAGUETTE BREAD
1F957	GREEN SALAD
1F958	SHALLOW PAN OF FOOD
1F959	STUFFED FLATBREAD
1F95A	EGG
1F95B	GLASS OF MILK
1F95C	PEANUTS
1F95D	KIWIFRUIT
1F95E	PANCAKES
1F95F	DUMPLING
1F960	FORTUNE COOKIE
1F961	TAKEOUT BOX
1F962	CHOPSTICKS
1F963	BOWL WITH SPOON
1F964	CUP WITH STRAW
1F965	COCONUT
1F966	BROCCOLI
1F967	PIE
1F968	PRETZEL
1F969	CUT OF MEAT
1F96A	SANDWICH
1F96B	CANNED FOOD
1F96C	LEAFY GREEN
1F96D	MANGO
1F96E	MOON CAKE
1F96F	BAGEL
1F970	SMILING FACE WITH 3 HEARTS
1F971	YAWNING FACE
1F973	PARTYING FACE
1F974	WOOZY FACE
1F975	HOT FACE
1F976	COLD FACE
1F97A	PLEADING FACE
1F97B	SARI
1F97C	LAB COAT
1F97D	GOGGLES
1F97E	HIKING BOOT
1F97F	WOMANS FLAT SHOE
1F980	CRAB
1F981	LION FACE
1F982	SCORPION
1F983	TURKEY
1F984	UNICORN FACE
1F985	EAGLE
1F986	DUCK
1F987	BAT
1F988	SHARK
1F989	OWL
1F98A	FOX FACE
1F98B	BUTTERFLY
1F98C	DEER
1F98D	GORILLA
1F98E	LIZARD
1F98F	RHINOCEROS
1F990	SHRIMP
1F991	SQUID
1F992	GIRAFFE FACE
1F993	ZEBRA FACE
1F994	HEDGEHOG
1F995	SAUROPOD
1F996	T REX
1F997	CRICKET
1F998	KANGAROO
1F999	LLAMA
1F99A	PEACOCK
1F99B	HIPPOPOTAMUS
1F99C	PARROT
1F99D	RACCOON
1F99E	LOBSTER
1F99F	MOSQUITO
1F9A0	MICROBE
1F9A1	BADGER
1F9A2	SWAN
1F9A5	SLOTH
1F9A6	OTTER
1F9A7	ORANGUTAN
1F9A8	SKUNK
1F9A9	FLAMINGO
1F9AA	OYSTER
1F9AE	GUIDE DOG
1F9AF	PROBING CANE
1F9B4	BONE
1F9B5	LEG
1F9B6	FOOT
1F9B7	TOOTH
1F9B8-200D-2640	FEMALE SUPERHERO
1F9B8-200D-2642	MALE SUPERHERO
1F9B8	SUPERHERO
1F9B9-200D-2640	FEMALE SUPERVILLAIN
1F9B9-200D-2642	MALE SUPERVILLAIN
1F9B9	SUPERVILLAIN
1F9BA	SAFETY VEST
1F9BB	EAR WITH HEARING AID
1F9BC	MOTORIZED WHEELCHAIR
1F9BD	MANUAL WHEELCHAIR
1F9BE	MECHANICAL ARM
1F9BF	MECHANICAL LEG
1F9C0	CHEESE WEDGE
1F9C1	CUPCAKE
1F9C2	SALT
1F9C3	BEVERAGE BOX
1F9C4	GARLIC
1F9C5	ONION
1F9C6	FALAFEL
1F9C7	WAFFLE
1F9C8	BUTTER
1F9C9	MATE DRINK
1F9CA	ICE CUBE
1F9CD-200D-2640	WOMAN STANDING
1F9CD-200D-2642	MAN STANDING
1F9CD	STANDING PERSON
1F9CE-200D-2640	WOMAN KNEELING
1F9CE-200D-2642	MAN KNEELING
1F9CE	KNEELING PERSON
1F9CF-200D-2640	DEAF WOMAN
1F9CF-200D-2642	DEAF MAN
1F9CF	DEAF PERSON
1F9D0	FACE WITH MONOCLE
1F9D1-200D-1F33E	FARMER
1F9D1-200D-1F373	COOK
1F9D1-200D-1F393	STUDENT
1F9D1-200D-1F3A4	SINGER
1F9D1-200D-1F3A8	ARTIST
1F9D1-200D-1F3EB	TEACHER
1F9D1-200D-1F3ED	FACTORY WORKER
1F9D1-200D-1F4BB	TECHNOLOGIST
1F9D1-200D-1F4BC	OFFICE WORKER
1F9D1-200D-1F527	MECHANIC
1F9D1-200D-1F52C	SCIENTIST
1F9D1-200D-1F680	ASTRONAUT
1F9D1-200D-1F692	FIREFIGHTER
1F9D1-200D-1F91D-200D-1F9D1	PEOPLE HOLDING HANDS
1F9D1-200D-1F9AF	PERSON WITH PROBING CANE
1F9D1-200D-1F9B0	RED HAIRED PERSON
1F9D1-200D-1F9B1	CURLY HAIRED PERSON
1F9D1-200D-1F9B2	BALD PERSON
1F9D1-200D-1F9B3	WHITE HAIRED PERSON
1F9D1-200D-1F9BC	PERSON IN MOTORIZED WHEELCHAIR
1F9D1-200D-1F9BD	PERSON IN MANUAL WHEELCHAIR
1F9D1-200D-2695	HEALTH WORKER
1F9D1-200D-2696	JUDGE
1F9D1-200D-2708	PILOT
1F9D1	ADULT
1F9D2	CHILD
1F9D3	OLDER ADULT
1F9D4	BEARDED PERSON
1F9D5	PERSON WITH HEADSCARF
1F9D6-200D-2640	WOMAN IN STEAMY ROOM
1F9D6-200D-2642	MAN IN STEAMY ROOM
1F9D6	PERSON IN STEAMY ROOM
1F9D7-200D-2640	WOMAN CLIMBING
1F9D7-200D-2642	MAN CLIMBING
1F9D7	PERSON CLIMBING
1F9D8-200D-2640	WOMAN IN LOTUS POSITION
1F9D8-200D-2642	MAN IN LOTUS POSITION
1F9D8	PERSON IN LOTUS POSITION
1F9D9-200D-2640	FEMALE MAGE
1F9D9-200D-2642	MALE MAGE
1F9D9	MAGE
1F9DA-200D-2640	FEMALE FAIRY
1F9DA-200D-2642	MALE FAIRY
1F9DA	FAIRY
1F9DB-200D-2640	FEMALE VAMPIRE
1F9DB-200D-2642	MALE VAMPIRE
1F9DB	VAMPIRE
1F9DC-200D-2640	MERMAID
1F9DC-200D-2642	MERMAN
1F9DC	MERPERSON
1F9DD-200D-2640	FEMALE ELF
1F9DD-200D-2642	MALE ELF
1F9DD	ELF
1F9DE-200D-2640	FEMALE GENIE
1F9DE-200D-2642	MALE GENIE
1F9DE	GENIE
1F9DF-200D-2640	FEMALE ZOMBIE
1F9DF-200D-2642	MALE ZOMBIE
1F9DF	ZOMBIE
1F9E0	BRAIN
1F9E1	ORANGE HEART
1F9E2	BILLED CAP
1F9E3	SCARF
1F9E4	GLOVES
1F9E5	COAT
1F9E6	SOCKS
1F9E7	RED ENVELOPE
1F9E8	FIRECRACKER
1F9E9	JIGSAW
1F9EA	TEST TUBE
1F9EB	PETRI DISH
1F9EC	DNA
1F9ED	COMPASS
1F9EE	ABACUS
1F9EF	FIRE EXTINGUISHER
1F9F0	TOOLBOX
1F9F1	BRICKS
1F9F2	MAGNET
1F9F3	LUGGAGE
1F9F4	LOTION BOTTLE
1F9F5	THREAD
1F9F6	YARN
1F9F7	SAFETY PIN
1F9F8	TEDDY BEAR
1F9F9	BROOM
1F9FA	BASKET
1F9FB	ROLL OF PAPER
1F9FC	SOAP
1F9FD	SPONGE
1F9FE	RECEIPT
1F9FF	NAZAR AMULET
1FA70	BALLET SHOES
1FA71	ONE PIECE SWIMSUIT
1FA72	BRIEFS
1FA73	SHORTS
1FA78	DROP OF BLOOD
1FA79	ADHESIVE BANDAGE
1FA7A	STETHOSCOPE
1FA80	YO YO
1FA81	KITE
1FA82	PARACHUTE
1FA90	RINGED PLANET
1FA91	CHAIR
1FA92	RAZOR
1FA93	AXE
1FA94	DIYA LAMP
1FA95	BANJO
203C	BANGBANG
2049	INTERROBANG
2122	TM
2139	INFORMATION SOURCE
2194	LEFT RIGHT ARROW
2195	ARROW UP DOWN
2196	ARROW UPPER LEFT
2197	ARROW UPPER RIGHT
2198	ARROW LOWER RIGHT
2199	ARROW LOWER LEFT
21A9	LEFTWARDS ARROW WITH HOOK
21AA	ARROW RIGHT HOOK
231A	WATCH
231B	HOURGLASS
2328	KEYBOARD
23CF	EJECT
23E9	FAST FORWARD
23EA	REWIND
23EB	ARROW DOUBLE UP
23EC	ARROW DOUBLE DOWN
23ED	BLACK RIGHT POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EE	BLACK LEFT POINTING DOUBLE TRIANGLE WITH VERTICAL BAR
23EF	BLACK RIGHT POINTING TRIANGLE WITH DOUBLE VERTICAL BAR
23F0	ALARM CLOCK
23F1	STOPWATCH
23F2	TIMER CLOCK
23F3	HOURGLASS FLOWING SAND
23F8	DOUBLE VERTICAL BAR
23F9	BLACK SQUARE FOR STOP
23FA	BLACK CIRCLE FOR RECORD
24C2	M
25AA	BLACK SMALL SQUARE
25AB	WHITE SMALL SQUARE
25B6	ARROW FORWARD
25C0	ARROW BACKWARD
25FB	WHITE MEDIUM SQUARE
25FC	BLACK MEDIUM SQUARE
25FD	WHITE MEDIUM SMALL SQUARE
25FE	BLACK MEDIUM SMALL SQUARE
2600	SUNNY
2601	CLOUD
2602	UMBRELLA
2603	SNOWMAN
2604	COMET
260E	PHONE
2611	BALLOT BOX WITH CHECK
2614	UMBRELLA WITH RAIN DROPS
2615	COFFEE
2618	SHAMROCK
261D	POINT UP
2620	SKULL AND CROSSBONES
2622	RADIOACTIVE SIGN
2623	BIOHAZARD SIGN
2626	ORTHODOX CROSS
262A	STAR AND CRESCENT
262E	PEACE SYMBOL
262F	YIN YANG
2638	WHEEL OF DHARMA
2639	WHITE FROWNING FACE
263A	RELAXED
2640	FEMALE SIGN
2642	MALE SIGN
2648	ARIES
2649	TAURUS
264A	GEMINI
264B	CANCER
264C	LEO
264D	VIRGO
264E	LIBRA
264F	SCORPIUS
2650	SAGITTARIUS
2651	CAPRICORN
2652	AQUARIUS
2653	PISCES
265F	CHESS PAWN
2660	SPADES
2663	CLUBS
2665	HEARTS
2666	DIAMONDS
2668	HOTSPRINGS
267B	RECYCLE
267E	INFINITY
267F	WHEELCHAIR
2692	HAMMER AND PICK
2693	ANCHOR
2694	CROSSED SWORDS
2695	MEDICAL SYMBOL
2696	SCALES
2697	ALEMBIC
2699	GEAR
269B	ATOM SYMBOL
269C	FLEUR DE LIS
26A0	WARNING
26A1	ZAP
26AA	WHITE CIRCLE
26AB	BLACK CIRCLE
26B0	COFFIN
26B1	FUNERAL URN
26BD	SOCCER
26BE	BASEBALL
26C4	SNOWMAN WITHOUT SNOW
26C5	PARTLY SUNNY
26C8	THUNDER CLOUD AND RAIN
26CE	OPHIUCHUS
26CF	PICK
26D1	HELMET WITH WHITE CROSS
26D3	CHAINS
26D4	NO ENTRY
26E9	SHINTO SHRINE
26EA	CHURCH
26F0	MOUNTAIN
26F1	UMBRELLA ON GROUND
26F2	FOUNTAIN
26F3	GOLF
26F4	FERRY
26F5	BOAT
26F7	SKIER
26F8	ICE SKATE
26F9-200D-2640	WOMAN BOUNCING BALL
26F9-200D-2642	MAN BOUNCING BALL
26F9	PERSON WITH BALL
26FA	TENT
26FD	FUELPUMP
2702	SCISSORS
2705	WHITE CHECK MARK
2708	AIRPLANE
2709	EMAIL
270A	FIST
270B	HAND
270C	V
270D	WRITING HAND
270F	PENCIL2
2712	BLACK NIB
2714	HEAVY CHECK MARK
2716	HEAVY MULTIPLICATION X
271D	LATIN CROSS
2721	STAR OF DAVID
2728	SPARKLES
2733	EIGHT SPOKED ASTERISK
2734	EIGHT POINTED BLACK STAR
2744	SNOWFLAKE
2747	SPARKLE
274C	X
274E	NEGATIVE SQUARED CROSS MARK
2753	QUESTION
2754	GREY QUESTION
2755	GREY EXCLAMATION
2757	EXCLAMATION
2763	HEAVY HEART EXCLAMATION MARK ORNAMENT
2764	HEART
2795	HEAVY PLUS SIGN
2796	HEAVY MINUS SIGN
2797	HEAVY DIVISION SIGN
27A1	ARROW RIGHT
27B0	CURLY LOOP
27BF	LOOP
2934	ARROW HEADING UP
2935	ARROW HEADING DOWN
2B05	ARROW LEFT
2B06	ARROW UP
2B07	ARROW DOWN
2B1B	BLACK LARGE SQUARE
2B1C	WHITE LARGE SQUARE
2B50	STAR
2B55	O
3030	WAVY DASH
303D	PART ALTERNATION MARK
3297	CONGRATULATIONS
3299	SECRET
1F44E	-1
1F947	1ST_PLACE_MEDAL
1F948	2ND_PLACE_MEDAL
1F949	3RD_PLACE_MEDAL
1FA79	ADHESIVE_BANDAGE
1F6A1	AERIAL_TRAMWAY
1F1E6-1F1EB	AFGHANISTAN
1F1E6-1F1FD	ALAND_ISLANDS
23F0	ALARM_CLOCK
1F1E6-1F1F1	ALBANIA
1F1E9-1F1FF	ALGERIA
1F1E6-1F1F8	AMERICAN_SAMOA
1F1E6-1F1E9	ANDORRA
1F1E6-1F1F4	ANGOLA
1F1E6-1F1EE	ANGUILLA
1F1E6-1F1F6	ANTARCTICA
1F1E6-1F1EC	ANTIGUA_BARBUDA
1F1E6-1F1F7	ARGENTINA
1F1E6-1F1F2	ARMENIA
25C0	ARROW_BACKWARD
23EC	ARROW_DOUBLE_DOWN
23EB	ARROW_DOUBLE_UP
2B07	ARROW_DOWN
1F53D	ARROW_DOWN_SMALL
25B6	ARROW_FORWARD
2935	ARROW_HEADING_DOWN
2934	ARROW_HEADING_UP
2B05	ARROW_LEFT
